,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
15,-580.47327,25.69108,-42.784042,16.688467,7.3300514,12.403513,7.526687,-3.7544174,2.2051914,11.114983,2.5510302,4.3193927,4.099166,6.180506,6.679495,-0.62115866,1.9335579,5.00731,1.587558,3.0069656,3.8083682,3.4158747,5.33348,2.0917118,1.6635209,3.262871,1.7858456,1.3189502,2.3459115,2.7453213,0.94030297,3.280857,1.1989455,1.1519912,1.5659742,-0.37515122,-0.42737192,0.7764291,2.4736054,2.4725068
16,-734.1609,36.23481,-24.708006,1.6914994,1.0328438,7.0558615,0.23830704,-6.316452,0.59078914,6.2798467,3.4754167,1.2547098,0.73693895,3.4634168,5.5344934,0.95324343,2.0067103,4.126261,2.699421,2.0507205,-0.031440306,0.2220605,1.0949482,2.2338507,0.27795133,0.029459657,2.56962,1.4488791,0.5388939,0.11036353,-0.14903732,0.05619981,0.057095647,1.5215875,0.7133847,-0.25568992,-0.01913342,0.80864066,0.30631626,0.67935485
17,-782.3469,27.256023,-21.681791,-0.6374545,3.1569989,5.4997745,-1.9357833,-4.0337763,-0.3408469,2.8360422,1.3698931,1.3349392,2.3184638,2.5615711,3.6127722,1.7219841,0.24892716,2.1759417,0.67066103,0.077379204,1.2932428,1.3951625,1.2112017,0.5769801,0.7716692,1.3886317,0.78967583,-0.012169694,0.6445892,0.68559575,-0.2974119,-0.3480646,0.670006,1.8753793,0.2767553,1.0673975,1.2433224,0.12810813,0.06297549,0.80796915
18,-741.5052,35.649025,-19.921879,4.5730786,5.6699457,8.900313,5.4969,1.5124687,1.6314517,5.2796044,2.8413768,-0.6659064,-0.8566167,3.8693168,5.4154468,2.170448,1.8502018,2.2822037,0.4534423,3.228281,3.952362,0.38431734,-0.50354445,0.56640947,0.66282624,1.1158367,1.0259293,0.5013385,0.011475029,-0.4680038,0.66828257,0.26884085,0.486077,1.572272,0.07352586,-0.31010163,-0.30081183,-0.19950342,0.81621057,1.0627255
19,-799.0716,9.866385,-22.799768,8.35645,4.578542,4.1258907,3.6189258,-0.8857625,0.0390407,5.693205,2.1671174,0.88072884,0.5375655,2.5725458,3.1755557,-0.48031822,1.2756636,2.082204,-0.66861546,1.1469123,1.299222,0.04744517,1.4534205,0.27209178,-0.45748386,0.8225738,0.80887914,-0.018949045,0.47370952,0.33040252,-0.8254621,0.2553274,-0.25066277,0.44189903,0.8763488,-0.46411997,-0.35787436,0.21334486,0.33677742,0.3209502
20,-621.95825,16.34408,-41.058506,7.426604,4.0243797,6.5127854,5.63803,-2.467166,0.80698586,9.605443,-0.07703281,1.8985406,1.5501891,3.7608044,4.432248,-3.1985157,-1.5303771,4.256905,2.6425712,3.2879605,2.5568473,-3.256537,-0.06935926,1.9129909,0.60175294,1.2793815,0.86123466,-0.5662933,1.6176136,2.5156605,-1.3401096,1.130603,-0.45930976,-0.36315212,0.7737822,-0.31916007,-0.6130107,1.3489276,0.6967582,-0.5668205
21,-738.10205,34.599632,-20.429115,3.909637,0.9428486,5.5510426,1.6343287,-1.8363471,1.0823307,5.672574,3.6252046,2.1019769,0.19338818,2.1329303,2.6510367,1.4530213,3.1120877,3.4692974,0.7379426,2.1173177,3.1628642,0.32287505,1.5683758,2.3795462,0.44107753,1.7684692,1.5814579,-0.44153214,-0.21793821,0.43039596,0.72877425,0.00019373692,0.4917911,1.767735,0.6836219,-0.32632795,-0.11546831,-0.4663782,0.06236165,0.84808755
22,-648.8522,44.344254,-32.520603,2.6135821,6.1441517,4.977355,0.03337519,-0.41277763,-2.4732103,9.357165,2.4003952,1.182066,4.21571,2.8469598,5.5522413,-2.032149,3.0023525,4.8545156,2.5353372,3.4364974,2.434166,3.191132,0.15317632,-0.076267004,0.27333605,1.7102563,1.707087,1.0479325,1.6768775,-0.37403366,0.85266685,-0.010848002,0.41861913,1.344498,0.84700453,1.6660076,0.45308235,0.38571844,-0.75947106,0.83287674
23,-818.7993,10.784002,-18.15903,7.6172495,0.6384509,1.0409372,1.3153454,-0.35930046,-0.003240602,2.060542,0.97560036,-0.24212475,-1.3083186,1.5094594,2.8968651,-0.5599809,1.3815408,1.8525696,-1.264855,1.0507079,1.8788639,-1.0230883,-0.9266108,0.13980986,0.38001704,0.19552536,-0.31116647,-0.24961084,-0.4559748,-0.39861757,0.37684968,-0.49895412,-0.17871499,0.82909477,-0.1467425,-0.31932035,-0.035596613,-0.2118206,0.26232147,0.43543372
24,-716.5571,17.818544,-31.922144,-1.7842715,-6.5314817,1.4725934,-0.51391304,-4.84179,-2.0978644,6.1907187,0.10664371,-1.5290372,-0.22635855,0.43117267,3.859472,-0.10036352,0.3076789,2.7094247,0.18069097,1.5777947,1.2612236,-0.13801888,0.85834104,0.29199043,0.2928156,-0.06058914,-0.04904238,0.20000423,0.28679362,0.3979026,0.903603,0.76520187,0.08348317,0.75170535,0.7976329,0.79722303,-0.11742152,0.88314587,0.38998407,-0.15776321
25,-655.2257,39.77258,-29.619137,-5.089002,-5.473049,7.6045456,-0.7497847,-3.6034665,2.6819801,9.733131,0.26530483,-1.1136498,2.7759101,-0.26374927,3.0011487,1.7736173,-0.20319729,2.415567,3.7975652,4.1055117,1.5273362,1.9322606,2.0181932,-1.1443903,-0.5414366,-1.1470277,-1.5284618,1.490617,1.9755002,2.4836366,2.9056718,1.1184417,1.1034192,1.8490014,0.327514,1.0750694,0.05621287,0.64305305,2.1467638,0.8592246
26,-763.44904,31.565147,-22.339643,1.3400476,2.4834304,6.3768954,-0.24483404,-5.269961,1.8385996,6.1270022,3.1851828,-0.08796026,-1.8908122,2.8021402,4.871156,1.7476017,1.834395,3.0910962,2.1837764,2.0272603,-0.04824692,-0.90589863,0.49863288,2.3038714,0.57521355,0.0071704085,1.916892,0.91783875,-0.5101937,0.037245825,0.3190064,0.028425157,-0.21154274,1.6137384,1.2063465,-0.50023943,0.12755999,0.40251392,0.31190845,1.125107
27,-728.21277,31.391953,-23.02064,2.2271597,3.9705055,9.352865,-0.46494138,-2.7845936,2.4315298,4.544802,1.3716637,0.8460345,2.1340098,4.432815,4.248487,1.3312366,1.5347215,4.0716076,1.3634117,1.7087935,1.6264172,0.45495647,0.5884907,2.0580058,1.3209743,1.4267251,1.7192192,0.5912718,1.5162593,1.129561,-0.055167347,1.2151521,0.31975216,0.9105104,-0.20093082,1.1116095,1.4850712,-0.042557944,1.0924273,1.5318853
28,-877.77936,8.136775,-15.285039,3.1424992,0.36487392,1.1876938,0.6678967,-0.36047494,0.98582715,2.4703877,0.5194344,-0.38907403,-0.3242568,1.5269493,2.0989678,0.06658762,1.4423943,1.9325979,0.0022280316,1.4544472,1.6979343,-0.16486466,-0.13059875,0.62827384,0.29342055,0.3955848,0.10820283,0.09041676,0.22665994,-0.4754859,0.05578579,-0.04393996,0.37054715,1.1738784,0.42441955,0.23645408,0.3084891,0.24597666,0.7171817,0.86397845
29,-736.8734,40.22091,-18.146759,6.3153877,6.303325,9.346211,3.5588107,-0.42044973,2.4127069,6.0832167,3.8495166,2.2149181,0.39359778,2.5165594,3.4296446,1.751239,3.8864367,4.4736567,1.2308347,1.785421,1.8112907,-0.72013426,0.11021302,1.5642878,0.8686864,2.1318562,0.8025003,-0.754727,0.18165083,1.1613288,1.5210348,0.09331126,0.19734566,1.6411691,0.7813953,0.20111531,0.5841344,-0.3020763,0.26416707,0.7418875
