Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,gamma,kernel,probability,best_accuracy_cv_mean,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,test_accuracy,test_auc_macro_ovr,test_f1_macro,test_precision_macro,test_recall_macro
2025-04-19 14:49:07,5.5s,b701b0fd5a4b4d57af8953aa037e296e,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,0.01,sigmoid,True,,0.30547981823041964,0.020316936028909056,0.22337483490728732,0.013783271274714052,0.22334402862943414,0.013695062908316171,0.2885724114207086,0.02208178757485256,,,,,
2025-04-19 14:49:02,5.1s,c285067aa0fc42e8bedc08bad8d864eb,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,auto,sigmoid,True,,0.42133119486768245,0.007477275189055353,0.23872784284141693,0.0036909266259131787,0.17177672519598258,0.004280481934869939,0.39789473684210525,0.0042105263157894875,,,,,
2025-04-19 14:48:56,5.2s,e2d398fda463494684a0765369341637,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,scale,sigmoid,True,,0.30780539962576847,0.02048756539728486,0.225405708871227,0.010881031410419007,0.223833544297032,0.013822467543911466,0.29079463364293084,0.021554128607608015,,,,,
2025-04-19 14:48:49,7.6s,3bae16c7cd8b4f1e9b3f35a29c30d7d8,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,1,rbf,True,,0.5925153702218658,0.043759700515692675,0.5680136603241166,0.04199873413494505,0.8299485895954899,0.08115348486795546,0.5758366013071895,0.04449175010320373,,,,,
2025-04-19 14:48:44,4.5s,6db6f6c1b93a421fa97f790c13a2357b,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,0.1,rbf,True,,0.9883720930232558,0.010400316174417645,0.9882669908628163,0.01049115760965304,0.9891228070175438,0.009684323529583318,0.98843653250774,0.010373550006380532,,,,,
2025-04-19 14:48:43,1.2s,437c6c0ad807467cb9fe628f66718924,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,0.01,rbf,True,,0.9930232558139535,0.009302325581395366,0.992920355630033,0.009350327373056928,0.9930718954248366,0.009349832544966066,0.9932894736842105,0.008652253801459803,,,,,
2025-04-19 14:48:42,1.4s,25c91a1c22334646aac23956023dbc96,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,auto,rbf,True,,0.9907244052392408,0.008694546124915143,0.9906107280300829,0.00893123815427929,0.9913312693498453,0.00795852335012236,0.9905417956656347,0.009240384001165298,,,,,
2025-04-19 14:48:40,1.2s,172bbdf6a7fc456c98063254d1d8270b,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,20,scale,rbf,True,,0.9930232558139535,0.009302325581395366,0.992920355630033,0.009350327373056928,0.9930718954248366,0.009349832544966066,0.9932894736842105,0.008652253801459803,,,,,
2025-04-19 14:48:34,6.8s,957476a9a9914ce4b7e531955ba15fc9,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,1,rbf,True,,0.5925153702218658,0.043759700515692675,0.5680136603241166,0.04199873413494505,0.8299485895954899,0.08115348486795546,0.5758366013071895,0.04449175010320373,,,,,
2025-04-19 14:48:29,4.5s,3eda83da381340b8aa9c712d7f8a0708,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10,0.1,rbf,True,,0.9883720930232558,0.010400316174417645,0.9882669908628163,0.01049115760965304,0.9891228070175438,0.009684323529583318,0.98843653250774,0.010373550006380532,,,,,
